Date,Total,hour,day_of_week,month,year,weekend,season
2022-01-05 06:00:00,35.0,6,2,1,2022,0,winter
2022-01-05 07:00:00,60.0,7,2,1,2022,0,winter
2022-01-05 08:00:00,84.0,8,2,1,2022,0,winter
2022-01-05 09:00:00,48.0,9,2,1,2022,0,winter
2022-01-05 10:00:00,19.0,10,2,1,2022,0,winter
2022-01-05 11:00:00,22.0,11,2,1,2022,0,winter
2022-01-05 12:00:00,46.0,12,2,1,2022,0,winter
2022-01-05 13:00:00,21.0,13,2,1,2022,0,winter
2022-01-05 14:00:00,34.0,14,2,1,2022,0,winter
2022-01-05 15:00:00,45.0,15,2,1,2022,0,winter
2022-01-05 16:00:00,69.0,16,2,1,2022,0,winter
2022-01-05 17:00:00,88.0,17,2,1,2022,0,winter
2022-01-05 18:00:00,64.0,18,2,1,2022,0,winter
2022-01-05 19:00:00,28.0,19,2,1,2022,0,winter
2022-01-05 20:00:00,18.0,20,2,1,2022,0,winter
2022-01-05 21:00:00,6.0,21,2,1,2022,0,winter
2022-01-05 22:00:00,2.0,22,2,1,2022,0,winter
2022-01-05 23:00:00,4.0,23,2,1,2022,0,winter
2022-01-06 00:00:00,2.0,0,3,1,2022,0,winter
2022-01-06 01:00:00,2.0,1,3,1,2022,0,winter
2022-01-06 02:00:00,3.0,2,3,1,2022,0,winter
2022-01-06 03:00:00,1.0,3,3,1,2022,0,winter
2022-01-06 04:00:00,3.0,4,3,1,2022,0,winter
2022-01-06 05:00:00,5.0,5,3,1,2022,0,winter
2022-01-06 06:00:00,26.0,6,3,1,2022,0,winter
2022-01-06 07:00:00,66.0,7,3,1,2022,0,winter
2022-01-06 08:00:00,71.0,8,3,1,2022,0,winter
2022-01-06 09:00:00,42.0,9,3,1,2022,0,winter
2022-01-06 10:00:00,24.0,10,3,1,2022,0,winter
2022-01-06 11:00:00,23.0,11,3,1,2022,0,winter
2022-01-06 12:00:00,19.0,12,3,1,2022,0,winter
2022-01-06 13:00:00,19.0,13,3,1,2022,0,winter
2022-01-06 14:00:00,19.0,14,3,1,2022,0,winter
2022-01-06 15:00:00,35.0,15,3,1,2022,0,winter
2022-01-06 16:00:00,67.0,16,3,1,2022,0,winter
2022-01-06 17:00:00,77.0,17,3,1,2022,0,winter
2022-01-06 18:00:00,46.0,18,3,1,2022,0,winter
2022-01-06 19:00:00,17.0,19,3,1,2022,0,winter
2022-01-06 20:00:00,8.0,20,3,1,2022,0,winter
2022-01-06 21:00:00,8.0,21,3,1,2022,0,winter
2022-01-06 22:00:00,3.0,22,3,1,2022,0,winter
2022-01-06 23:00:00,2.0,23,3,1,2022,0,winter
2022-01-07 00:00:00,3.0,0,4,1,2022,0,winter
2022-01-07 01:00:00,0.0,1,4,1,2022,0,winter
2022-01-07 02:00:00,0.0,2,4,1,2022,0,winter
2022-01-07 03:00:00,1.0,3,4,1,2022,0,winter
2022-01-07 04:00:00,0.0,4,4,1,2022,0,winter
2022-01-07 05:00:00,7.0,5,4,1,2022,0,winter
2022-01-07 06:00:00,19.0,6,4,1,2022,0,winter
2022-01-07 07:00:00,34.0,7,4,1,2022,0,winter
2022-01-07 08:00:00,52.0,8,4,1,2022,0,winter
2022-01-07 09:00:00,46.0,9,4,1,2022,0,winter
2022-01-07 10:00:00,27.0,10,4,1,2022,0,winter
2022-01-07 11:00:00,18.0,11,4,1,2022,0,winter
2022-01-07 12:00:00,11.0,12,4,1,2022,0,winter
2022-01-07 13:00:00,24.0,13,4,1,2022,0,winter
2022-01-07 14:00:00,43.0,14,4,1,2022,0,winter
2022-01-07 15:00:00,55.0,15,4,1,2022,0,winter
2022-01-07 16:00:00,71.0,16,4,1,2022,0,winter
2022-01-07 17:00:00,104.0,17,4,1,2022,0,winter
2022-01-07 18:00:00,56.0,18,4,1,2022,0,winter
2022-01-07 19:00:00,26.0,19,4,1,2022,0,winter
2022-01-07 20:00:00,17.0,20,4,1,2022,0,winter
2022-01-07 21:00:00,19.0,21,4,1,2022,0,winter
2022-01-07 22:00:00,13.0,22,4,1,2022,0,winter
2022-01-07 23:00:00,4.0,23,4,1,2022,0,winter
2022-01-08 00:00:00,3.0,0,5,1,2022,1,winter
2022-01-08 01:00:00,6.0,1,5,1,2022,1,winter
2022-01-08 02:00:00,2.0,2,5,1,2022,1,winter
2022-01-08 03:00:00,2.0,3,5,1,2022,1,winter
2022-01-08 04:00:00,0.0,4,5,1,2022,1,winter
2022-01-08 05:00:00,4.0,5,5,1,2022,1,winter
2022-01-08 06:00:00,11.0,6,5,1,2022,1,winter
2022-01-08 07:00:00,10.0,7,5,1,2022,1,winter
2022-01-08 08:00:00,20.0,8,5,1,2022,1,winter
2022-01-08 09:00:00,65.0,9,5,1,2022,1,winter
2022-01-08 10:00:00,68.0,10,5,1,2022,1,winter
2022-01-08 11:00:00,90.0,11,5,1,2022,1,winter
2022-01-08 12:00:00,140.0,12,5,1,2022,1,winter
2022-01-08 13:00:00,152.0,13,5,1,2022,1,winter
2022-01-08 14:00:00,132.0,14,5,1,2022,1,winter
2022-01-08 15:00:00,128.0,15,5,1,2022,1,winter
2022-01-08 16:00:00,122.0,16,5,1,2022,1,winter
2022-01-08 17:00:00,53.0,17,5,1,2022,1,winter
2022-01-08 18:00:00,29.0,18,5,1,2022,1,winter
2022-01-08 19:00:00,44.0,19,5,1,2022,1,winter
2022-01-08 20:00:00,27.0,20,5,1,2022,1,winter
2022-01-08 21:00:00,25.0,21,5,1,2022,1,winter
2022-01-08 22:00:00,7.0,22,5,1,2022,1,winter
2022-01-08 23:00:00,7.0,23,5,1,2022,1,winter
2022-01-09 00:00:00,3.0,0,6,1,2022,1,winter
2022-01-09 01:00:00,5.0,1,6,1,2022,1,winter
2022-01-09 02:00:00,3.0,2,6,1,2022,1,winter
2022-01-09 03:00:00,1.0,3,6,1,2022,1,winter
2022-01-09 04:00:00,0.0,4,6,1,2022,1,winter
2022-01-09 05:00:00,2.0,5,6,1,2022,1,winter
2022-01-09 06:00:00,7.0,6,6,1,2022,1,winter
2022-01-09 07:00:00,24.0,7,6,1,2022,1,winter
2022-01-09 08:00:00,37.0,8,6,1,2022,1,winter
2022-01-09 09:00:00,47.0,9,6,1,2022,1,winter
2022-01-09 10:00:00,113.0,10,6,1,2022,1,winter
2022-01-09 11:00:00,193.0,11,6,1,2022,1,winter
2022-01-09 12:00:00,250.0,12,6,1,2022,1,winter
2022-01-09 13:00:00,256.0,13,6,1,2022,1,winter
2022-01-09 14:00:00,364.0,14,6,1,2022,1,winter
2022-01-09 15:00:00,280.0,15,6,1,2022,1,winter
2022-01-09 16:00:00,156.0,16,6,1,2022,1,winter
2022-01-09 17:00:00,77.0,17,6,1,2022,1,winter
2022-01-09 18:00:00,36.0,18,6,1,2022,1,winter
2022-01-09 19:00:00,25.0,19,6,1,2022,1,winter
2022-01-09 20:00:00,18.0,20,6,1,2022,1,winter
2022-01-09 21:00:00,12.0,21,6,1,2022,1,winter
2022-01-09 22:00:00,12.0,22,6,1,2022,1,winter
2022-01-09 23:00:00,2.0,23,6,1,2022,1,winter
2022-01-10 00:00:00,6.0,0,0,1,2022,0,winter
2022-01-10 01:00:00,1.0,1,0,1,2022,0,winter
2022-01-10 02:00:00,0.0,2,0,1,2022,0,winter
2022-01-10 03:00:00,1.0,3,0,1,2022,0,winter
2022-01-10 04:00:00,6.0,4,0,1,2022,0,winter
2022-01-10 05:00:00,10.0,5,0,1,2022,0,winter
2022-01-10 06:00:00,51.0,6,0,1,2022,0,winter
2022-01-10 07:00:00,85.0,7,0,1,2022,0,winter
2022-01-10 08:00:00,91.0,8,0,1,2022,0,winter
2022-01-10 09:00:00,40.0,9,0,1,2022,0,winter
2022-01-10 10:00:00,21.0,10,0,1,2022,0,winter
2022-01-10 11:00:00,26.0,11,0,1,2022,0,winter
2022-01-10 12:00:00,37.0,12,0,1,2022,0,winter
2022-01-10 13:00:00,45.0,13,0,1,2022,0,winter
2022-01-10 14:00:00,28.0,14,0,1,2022,0,winter
2022-01-10 15:00:00,61.0,15,0,1,2022,0,winter
2022-01-10 16:00:00,93.0,16,0,1,2022,0,winter
2022-01-10 17:00:00,123.0,17,0,1,2022,0,winter
2022-01-10 18:00:00,72.0,18,0,1,2022,0,winter
2022-01-10 19:00:00,26.0,19,0,1,2022,0,winter
2022-01-10 20:00:00,22.0,20,0,1,2022,0,winter
2022-01-10 21:00:00,19.0,21,0,1,2022,0,winter
2022-01-10 22:00:00,6.0,22,0,1,2022,0,winter
2022-01-10 23:00:00,5.0,23,0,1,2022,0,winter
2022-01-11 00:00:00,4.0,0,1,1,2022,0,winter
2022-01-11 01:00:00,2.0,1,1,1,2022,0,winter
2022-01-11 02:00:00,0.0,2,1,1,2022,0,winter
2022-01-11 03:00:00,0.0,3,1,1,2022,0,winter
2022-01-11 04:00:00,2.0,4,1,1,2022,0,winter
2022-01-11 05:00:00,16.0,5,1,1,2022,0,winter
2022-01-11 06:00:00,45.0,6,1,1,2022,0,winter
2022-01-11 07:00:00,68.0,7,1,1,2022,0,winter
2022-01-11 08:00:00,97.0,8,1,1,2022,0,winter
2022-01-11 09:00:00,58.0,9,1,1,2022,0,winter
2022-01-11 10:00:00,34.0,10,1,1,2022,0,winter
2022-01-11 11:00:00,33.0,11,1,1,2022,0,winter
2022-01-11 12:00:00,23.0,12,1,1,2022,0,winter
2022-01-11 13:00:00,28.0,13,1,1,2022,0,winter
2022-01-11 14:00:00,38.0,14,1,1,2022,0,winter
2022-01-11 15:00:00,54.0,15,1,1,2022,0,winter
2022-01-11 16:00:00,83.0,16,1,1,2022,0,winter
2022-01-11 17:00:00,101.0,17,1,1,2022,0,winter
2022-01-11 18:00:00,59.0,18,1,1,2022,0,winter
2022-01-11 19:00:00,22.0,19,1,1,2022,0,winter
2022-01-11 20:00:00,15.0,20,1,1,2022,0,winter
2022-01-11 21:00:00,15.0,21,1,1,2022,0,winter
2022-01-11 22:00:00,9.0,22,1,1,2022,0,winter
2022-01-11 23:00:00,4.0,23,1,1,2022,0,winter
2022-01-12 00:00:00,0.0,0,2,1,2022,0,winter
2022-01-12 01:00:00,3.0,1,2,1,2022,0,winter
2022-01-12 02:00:00,1.0,2,2,1,2022,0,winter
2022-01-12 03:00:00,0.0,3,2,1,2022,0,winter
2022-01-12 04:00:00,4.0,4,2,1,2022,0,winter
2022-01-12 05:00:00,13.0,5,2,1,2022,0,winter
2022-01-12 06:00:00,35.0,6,2,1,2022,0,winter
2022-01-12 07:00:00,85.0,7,2,1,2022,0,winter
2022-01-12 08:00:00,95.0,8,2,1,2022,0,winter
2022-01-12 09:00:00,85.0,9,2,1,2022,0,winter
2022-01-12 10:00:00,35.0,10,2,1,2022,0,winter
2022-01-12 11:00:00,39.0,11,2,1,2022,0,winter
2022-01-12 12:00:00,32.0,12,2,1,2022,0,winter
2022-01-12 13:00:00,43.0,13,2,1,2022,0,winter
2022-01-12 14:00:00,73.0,14,2,1,2022,0,winter
2022-01-12 15:00:00,105.0,15,2,1,2022,0,winter
2022-01-12 16:00:00,126.0,16,2,1,2022,0,winter
2022-01-12 17:00:00,136.0,17,2,1,2022,0,winter
2022-01-12 18:00:00,123.0,18,2,1,2022,0,winter
2022-01-12 19:00:00,36.0,19,2,1,2022,0,winter
2022-01-12 20:00:00,35.0,20,2,1,2022,0,winter
2022-01-12 21:00:00,17.0,21,2,1,2022,0,winter
2022-01-12 22:00:00,9.0,22,2,1,2022,0,winter
2022-01-12 23:00:00,10.0,23,2,1,2022,0,winter
2022-01-13 00:00:00,7.0,0,3,1,2022,0,winter
2022-01-13 01:00:00,1.0,1,3,1,2022,0,winter
2022-01-13 02:00:00,2.0,2,3,1,2022,0,winter
2022-01-13 03:00:00,1.0,3,3,1,2022,0,winter
2022-01-13 04:00:00,6.0,4,3,1,2022,0,winter
2022-01-13 05:00:00,13.0,5,3,1,2022,0,winter
2022-01-13 06:00:00,38.0,6,3,1,2022,0,winter
2022-01-13 07:00:00,82.0,7,3,1,2022,0,winter
2022-01-13 08:00:00,89.0,8,3,1,2022,0,winter
2022-01-13 09:00:00,73.0,9,3,1,2022,0,winter
2022-01-13 10:00:00,39.0,10,3,1,2022,0,winter
2022-01-13 11:00:00,48.0,11,3,1,2022,0,winter
2022-01-13 12:00:00,65.0,12,3,1,2022,0,winter
2022-01-13 13:00:00,71.0,13,3,1,2022,0,winter
2022-01-13 14:00:00,122.0,14,3,1,2022,0,winter
2022-01-13 15:00:00,129.0,15,3,1,2022,0,winter
2022-01-13 16:00:00,183.0,16,3,1,2022,0,winter
2022-01-13 17:00:00,141.0,17,3,1,2022,0,winter
2022-01-13 18:00:00,127.0,18,3,1,2022,0,winter
2022-01-13 19:00:00,46.0,19,3,1,2022,0,winter
2022-01-13 20:00:00,27.0,20,3,1,2022,0,winter
2022-01-13 21:00:00,29.0,21,3,1,2022,0,winter
2022-01-13 22:00:00,10.0,22,3,1,2022,0,winter
2022-01-13 23:00:00,23.0,23,3,1,2022,0,winter
2022-01-14 00:00:00,3.0,0,4,1,2022,0,winter
2022-01-14 01:00:00,3.0,1,4,1,2022,0,winter
2022-01-14 02:00:00,1.0,2,4,1,2022,0,winter
2022-01-14 03:00:00,2.0,3,4,1,2022,0,winter
2022-01-14 04:00:00,3.0,4,4,1,2022,0,winter
2022-01-14 05:00:00,16.0,5,4,1,2022,0,winter
2022-01-14 06:00:00,31.0,6,4,1,2022,0,winter
2022-01-14 07:00:00,83.0,7,4,1,2022,0,winter
2022-01-14 08:00:00,117.0,8,4,1,2022,0,winter
2022-01-14 09:00:00,105.0,9,4,1,2022,0,winter
2022-01-14 10:00:00,58.0,10,4,1,2022,0,winter
2022-01-14 11:00:00,67.0,11,4,1,2022,0,winter
2022-01-14 12:00:00,76.0,12,4,1,2022,0,winter
2022-01-14 13:00:00,103.0,13,4,1,2022,0,winter
2022-01-14 14:00:00,137.0,14,4,1,2022,0,winter
2022-01-14 15:00:00,173.0,15,4,1,2022,0,winter
2022-01-14 16:00:00,173.0,16,4,1,2022,0,winter
2022-01-14 17:00:00,146.0,17,4,1,2022,0,winter
2022-01-14 18:00:00,84.0,18,4,1,2022,0,winter
2022-01-14 19:00:00,43.0,19,4,1,2022,0,winter
2022-01-14 20:00:00,28.0,20,4,1,2022,0,winter
2022-01-14 21:00:00,21.0,21,4,1,2022,0,winter
2022-01-14 22:00:00,17.0,22,4,1,2022,0,winter
2022-01-14 23:00:00,10.0,23,4,1,2022,0,winter
2022-01-15 00:00:00,9.0,0,5,1,2022,1,winter
2022-01-15 01:00:00,4.0,1,5,1,2022,1,winter
2022-01-15 02:00:00,3.0,2,5,1,2022,1,winter
2022-01-15 03:00:00,3.0,3,5,1,2022,1,winter
2022-01-15 04:00:00,6.0,4,5,1,2022,1,winter
2022-01-15 05:00:00,8.0,5,5,1,2022,1,winter
2022-01-15 06:00:00,14.0,6,5,1,2022,1,winter
2022-01-15 07:00:00,18.0,7,5,1,2022,1,winter
2022-01-15 08:00:00,37.0,8,5,1,2022,1,winter
2022-01-15 09:00:00,69.0,9,5,1,2022,1,winter
2022-01-15 10:00:00,96.0,10,5,1,2022,1,winter
2022-01-15 11:00:00,119.0,11,5,1,2022,1,winter
2022-01-15 12:00:00,157.0,12,5,1,2022,1,winter
2022-01-15 13:00:00,131.0,13,5,1,2022,1,winter
2022-01-15 14:00:00,148.0,14,5,1,2022,1,winter
2022-01-15 15:00:00,143.0,15,5,1,2022,1,winter
2022-01-15 16:00:00,117.0,16,5,1,2022,1,winter
2022-01-15 17:00:00,59.0,17,5,1,2022,1,winter
2022-01-15 18:00:00,51.0,18,5,1,2022,1,winter
2022-01-15 19:00:00,31.0,19,5,1,2022,1,winter
2022-01-15 20:00:00,21.0,20,5,1,2022,1,winter
2022-01-15 21:00:00,30.0,21,5,1,2022,1,winter
2022-01-15 22:00:00,26.0,22,5,1,2022,1,winter
2022-01-15 23:00:00,13.0,23,5,1,2022,1,winter
2022-01-16 00:00:00,5.0,0,6,1,2022,1,winter
2022-01-16 01:00:00,10.0,1,6,1,2022,1,winter
2022-01-16 02:00:00,2.0,2,6,1,2022,1,winter
2022-01-16 03:00:00,3.0,3,6,1,2022,1,winter
2022-01-16 04:00:00,2.0,4,6,1,2022,1,winter
2022-01-16 05:00:00,1.0,5,6,1,2022,1,winter
2022-01-16 06:00:00,4.0,6,6,1,2022,1,winter
2022-01-16 07:00:00,11.0,7,6,1,2022,1,winter
2022-01-16 08:00:00,38.0,8,6,1,2022,1,winter
2022-01-16 09:00:00,54.0,9,6,1,2022,1,winter
2022-01-16 10:00:00,64.0,10,6,1,2022,1,winter
2022-01-16 11:00:00,126.0,11,6,1,2022,1,winter
2022-01-16 12:00:00,115.0,12,6,1,2022,1,winter
2022-01-16 13:00:00,118.0,13,6,1,2022,1,winter
2022-01-16 14:00:00,137.0,14,6,1,2022,1,winter
2022-01-16 15:00:00,124.0,15,6,1,2022,1,winter
2022-01-16 16:00:00,110.0,16,6,1,2022,1,winter
2022-01-16 17:00:00,54.0,17,6,1,2022,1,winter
2022-01-16 18:00:00,27.0,18,6,1,2022,1,winter
2022-01-16 19:00:00,20.0,19,6,1,2022,1,winter
2022-01-16 20:00:00,16.0,20,6,1,2022,1,winter
2022-01-16 21:00:00,8.0,21,6,1,2022,1,winter
2022-01-16 22:00:00,4.0,22,6,1,2022,1,winter
2022-01-16 23:00:00,2.0,23,6,1,2022,1,winter
2022-01-17 00:00:00,6.0,0,0,1,2022,0,winter
2022-01-17 01:00:00,2.0,1,0,1,2022,0,winter
2022-01-17 02:00:00,2.0,2,0,1,2022,0,winter
2022-01-17 03:00:00,0.0,3,0,1,2022,0,winter
2022-01-17 04:00:00,6.0,4,0,1,2022,0,winter
2022-01-17 05:00:00,8.0,5,0,1,2022,0,winter
2022-01-17 06:00:00,20.0,6,0,1,2022,0,winter
2022-01-17 07:00:00,32.0,7,0,1,2022,0,winter
2022-01-17 08:00:00,63.0,8,0,1,2022,0,winter
2022-01-17 09:00:00,59.0,9,0,1,2022,0,winter
2022-01-17 10:00:00,60.0,10,0,1,2022,0,winter
2022-01-17 11:00:00,97.0,11,0,1,2022,0,winter
2022-01-17 12:00:00,94.0,12,0,1,2022,0,winter
2022-01-17 13:00:00,144.0,13,0,1,2022,0,winter
2022-01-17 14:00:00,168.0,14,0,1,2022,0,winter
2022-01-17 15:00:00,145.0,15,0,1,2022,0,winter
2022-01-17 16:00:00,151.0,16,0,1,2022,0,winter
2022-01-17 17:00:00,88.0,17,0,1,2022,0,winter
2022-01-17 18:00:00,50.0,18,0,1,2022,0,winter
2022-01-17 19:00:00,19.0,19,0,1,2022,0,winter
2022-01-17 20:00:00,25.0,20,0,1,2022,0,winter
2022-01-17 21:00:00,23.0,21,0,1,2022,0,winter
2022-01-17 22:00:00,9.0,22,0,1,2022,0,winter
2022-01-17 23:00:00,6.0,23,0,1,2022,0,winter
2022-01-18 00:00:00,4.0,0,1,1,2022,0,winter
2022-01-18 01:00:00,0.0,1,1,1,2022,0,winter
2022-01-18 02:00:00,0.0,2,1,1,2022,0,winter
2022-01-18 03:00:00,1.0,3,1,1,2022,0,winter
2022-01-18 04:00:00,2.0,4,1,1,2022,0,winter
2022-01-18 05:00:00,17.0,5,1,1,2022,0,winter
2022-01-18 06:00:00,71.0,6,1,1,2022,0,winter
2022-01-18 07:00:00,109.0,7,1,1,2022,0,winter
2022-01-18 08:00:00,147.0,8,1,1,2022,0,winter
2022-01-18 09:00:00,98.0,9,1,1,2022,0,winter
2022-01-18 10:00:00,35.0,10,1,1,2022,0,winter
2022-01-18 11:00:00,32.0,11,1,1,2022,0,winter
2022-01-18 12:00:00,35.0,12,1,1,2022,0,winter
2022-01-18 13:00:00,43.0,13,1,1,2022,0,winter
2022-01-18 14:00:00,45.0,14,1,1,2022,0,winter
2022-01-18 15:00:00,83.0,15,1,1,2022,0,winter
2022-01-18 16:00:00,138.0,16,1,1,2022,0,winter
2022-01-18 17:00:00,178.0,17,1,1,2022,0,winter
2022-01-18 18:00:00,116.0,18,1,1,2022,0,winter
2022-01-18 19:00:00,36.0,19,1,1,2022,0,winter
2022-01-18 20:00:00,32.0,20,1,1,2022,0,winter
2022-01-18 21:00:00,19.0,21,1,1,2022,0,winter
2022-01-18 22:00:00,7.0,22,1,1,2022,0,winter
2022-01-18 23:00:00,7.0,23,1,1,2022,0,winter
2022-01-19 00:00:00,3.0,0,2,1,2022,0,winter
2022-01-19 01:00:00,3.0,1,2,1,2022,0,winter
2022-01-19 02:00:00,2.0,2,2,1,2022,0,winter
2022-01-19 03:00:00,2.0,3,2,1,2022,0,winter
2022-01-19 04:00:00,5.0,4,2,1,2022,0,winter
2022-01-19 05:00:00,11.0,5,2,1,2022,0,winter
2022-01-19 06:00:00,53.0,6,2,1,2022,0,winter
2022-01-19 07:00:00,123.0,7,2,1,2022,0,winter
2022-01-19 08:00:00,146.0,8,2,1,2022,0,winter
2022-01-19 09:00:00,108.0,9,2,1,2022,0,winter
2022-01-19 10:00:00,63.0,10,2,1,2022,0,winter
2022-01-19 11:00:00,56.0,11,2,1,2022,0,winter
2022-01-19 12:00:00,67.0,12,2,1,2022,0,winter
2022-01-19 13:00:00,69.0,13,2,1,2022,0,winter
2022-01-19 14:00:00,84.0,14,2,1,2022,0,winter
2022-01-19 15:00:00,100.0,15,2,1,2022,0,winter
2022-01-19 16:00:00,122.0,16,2,1,2022,0,winter
2022-01-19 17:00:00,175.0,17,2,1,2022,0,winter
2022-01-19 18:00:00,100.0,18,2,1,2022,0,winter
2022-01-19 19:00:00,35.0,19,2,1,2022,0,winter
2022-01-19 20:00:00,19.0,20,2,1,2022,0,winter
2022-01-19 21:00:00,19.0,21,2,1,2022,0,winter
2022-01-19 22:00:00,10.0,22,2,1,2022,0,winter
2022-01-19 23:00:00,5.0,23,2,1,2022,0,winter
2022-01-20 00:00:00,3.0,0,3,1,2022,0,winter
2022-01-20 01:00:00,1.0,1,3,1,2022,0,winter
2022-01-20 02:00:00,1.0,2,3,1,2022,0,winter
2022-01-20 03:00:00,2.0,3,3,1,2022,0,winter
2022-01-20 04:00:00,5.0,4,3,1,2022,0,winter
2022-01-20 05:00:00,17.0,5,3,1,2022,0,winter
2022-01-20 06:00:00,38.0,6,3,1,2022,0,winter
2022-01-20 07:00:00,96.0,7,3,1,2022,0,winter
2022-01-20 08:00:00,120.0,8,3,1,2022,0,winter
2022-01-20 09:00:00,71.0,9,3,1,2022,0,winter
2022-01-20 10:00:00,49.0,10,3,1,2022,0,winter
2022-01-20 11:00:00,51.0,11,3,1,2022,0,winter
2022-01-20 12:00:00,40.0,12,3,1,2022,0,winter
2022-01-20 13:00:00,47.0,13,3,1,2022,0,winter
2022-01-20 14:00:00,52.0,14,3,1,2022,0,winter
2022-01-20 15:00:00,78.0,15,3,1,2022,0,winter
2022-01-20 16:00:00,91.0,16,3,1,2022,0,winter
2022-01-20 17:00:00,122.0,17,3,1,2022,0,winter
2022-01-20 18:00:00,116.0,18,3,1,2022,0,winter
2022-01-20 19:00:00,35.0,19,3,1,2022,0,winter
2022-01-20 20:00:00,28.0,20,3,1,2022,0,winter
2022-01-20 21:00:00,20.0,21,3,1,2022,0,winter
2022-01-20 22:00:00,20.0,22,3,1,2022,0,winter
2022-01-20 23:00:00,10.0,23,3,1,2022,0,winter
2022-01-21 00:00:00,1.0,0,4,1,2022,0,winter
2022-01-21 01:00:00,3.0,1,4,1,2022,0,winter
2022-01-21 02:00:00,0.0,2,4,1,2022,0,winter
2022-01-21 03:00:00,2.0,3,4,1,2022,0,winter
2022-01-21 04:00:00,4.0,4,4,1,2022,0,winter
2022-01-21 05:00:00,18.0,5,4,1,2022,0,winter
2022-01-21 06:00:00,40.0,6,4,1,2022,0,winter
2022-01-21 07:00:00,83.0,7,4,1,2022,0,winter
2022-01-21 08:00:00,132.0,8,4,1,2022,0,winter
2022-01-21 09:00:00,107.0,9,4,1,2022,0,winter
2022-01-21 10:00:00,73.0,10,4,1,2022,0,winter
2022-01-21 11:00:00,80.0,11,4,1,2022,0,winter
2022-01-21 12:00:00,83.0,12,4,1,2022,0,winter
2022-01-21 13:00:00,102.0,13,4,1,2022,0,winter
2022-01-21 14:00:00,101.0,14,4,1,2022,0,winter
2022-01-21 15:00:00,136.0,15,4,1,2022,0,winter
2022-01-21 16:00:00,196.0,16,4,1,2022,0,winter
2022-01-21 17:00:00,189.0,17,4,1,2022,0,winter
2022-01-21 18:00:00,106.0,18,4,1,2022,0,winter
2022-01-21 19:00:00,57.0,19,4,1,2022,0,winter
2022-01-21 20:00:00,35.0,20,4,1,2022,0,winter
2022-01-21 21:00:00,28.0,21,4,1,2022,0,winter
2022-01-21 22:00:00,19.0,22,4,1,2022,0,winter
2022-01-21 23:00:00,10.0,23,4,1,2022,0,winter
2022-01-22 00:00:00,10.0,0,5,1,2022,1,winter
2022-01-22 01:00:00,6.0,1,5,1,2022,1,winter
2022-01-22 02:00:00,2.0,2,5,1,2022,1,winter
2022-01-22 03:00:00,4.0,3,5,1,2022,1,winter
2022-01-22 04:00:00,6.0,4,5,1,2022,1,winter
2022-01-22 05:00:00,1.0,5,5,1,2022,1,winter
2022-01-22 06:00:00,11.0,6,5,1,2022,1,winter
2022-01-22 07:00:00,16.0,7,5,1,2022,1,winter
2022-01-22 08:00:00,63.0,8,5,1,2022,1,winter
2022-01-22 09:00:00,70.0,9,5,1,2022,1,winter
2022-01-22 10:00:00,113.0,10,5,1,2022,1,winter
2022-01-22 11:00:00,165.0,11,5,1,2022,1,winter
2022-01-22 12:00:00,167.0,12,5,1,2022,1,winter
2022-01-22 13:00:00,205.0,13,5,1,2022,1,winter
2022-01-22 14:00:00,243.0,14,5,1,2022,1,winter
2022-01-22 15:00:00,211.0,15,5,1,2022,1,winter
2022-01-22 16:00:00,161.0,16,5,1,2022,1,winter
2022-01-22 17:00:00,104.0,17,5,1,2022,1,winter
2022-01-22 18:00:00,39.0,18,5,1,2022,1,winter
2022-01-22 19:00:00,39.0,19,5,1,2022,1,winter
2022-01-22 20:00:00,36.0,20,5,1,2022,1,winter
2022-01-22 21:00:00,24.0,21,5,1,2022,1,winter
2022-01-22 22:00:00,16.0,22,5,1,2022,1,winter
2022-01-22 23:00:00,9.0,23,5,1,2022,1,winter
2022-01-23 00:00:00,3.0,0,6,1,2022,1,winter
2022-01-23 01:00:00,5.0,1,6,1,2022,1,winter
2022-01-23 02:00:00,5.0,2,6,1,2022,1,winter
2022-01-23 03:00:00,3.0,3,6,1,2022,1,winter
2022-01-23 04:00:00,3.0,4,6,1,2022,1,winter
2022-01-23 05:00:00,3.0,5,6,1,2022,1,winter
2022-01-23 06:00:00,10.0,6,6,1,2022,1,winter
2022-01-23 07:00:00,14.0,7,6,1,2022,1,winter
2022-01-23 08:00:00,43.0,8,6,1,2022,1,winter
2022-01-23 09:00:00,54.0,9,6,1,2022,1,winter
2022-01-23 10:00:00,83.0,10,6,1,2022,1,winter
2022-01-23 11:00:00,103.0,11,6,1,2022,1,winter
2022-01-23 12:00:00,130.0,12,6,1,2022,1,winter
2022-01-23 13:00:00,126.0,13,6,1,2022,1,winter
2022-01-23 14:00:00,142.0,14,6,1,2022,1,winter
2022-01-23 15:00:00,125.0,15,6,1,2022,1,winter
2022-01-23 16:00:00,114.0,16,6,1,2022,1,winter
2022-01-23 17:00:00,65.0,17,6,1,2022,1,winter
2022-01-23 18:00:00,39.0,18,6,1,2022,1,winter
2022-01-23 19:00:00,17.0,19,6,1,2022,1,winter
2022-01-23 20:00:00,14.0,20,6,1,2022,1,winter
2022-01-23 21:00:00,17.0,21,6,1,2022,1,winter
2022-01-23 22:00:00,8.0,22,6,1,2022,1,winter
2022-01-23 23:00:00,6.0,23,6,1,2022,1,winter
